short_desc,severity
console consolepatternmatcher causes large delays large input improvements,normal
inbox messages delete moved x messages inbox trash caused memeo backup sw,major
add java watch expression dialog labels,trivial
quick fix handle additional dimentions sometimes quick fix,minor
linked resources converted local resource renaming subdirectories,normal
missing unique cdt context help ids various pref panels,major
tab order view stack resize,trivial
dom astrewrite record organize imports removes annotation import statement used record component,major
compiler classcastexception unchecked warning report,normal
open type filteredtypesselectiondialog mixes versions searchpattern,major
timeout pop ssl port,major
imap stuck downloading message,major
junit status hard see fastview icons,normal
duplicate mneumonic alte javaprefseditortyping,minor
console exception closing pty stream,minor
import button missing third,trivial
key bindings ctrlspace accelerator working,critical
button open site login item,normal
move method annotation error applying moverefactoring inherited methods,normal
working sets dont work properly,normal
simplify generating parser,minor
globalrefreshwizardselectionpage globalrefreshresourceselectionpage use deprecated resourcesorter,trivial
menuitemsettooltip doesnt work items shell menubar windows,trivial
exception opeing compare properties file,blocker
method potentially static warning junit test methods annotated orgjunittest,minor
context sensitive help text bold tchinese win,minor
noclassdeffounderror orgeclipseteamuisynchronizesubscribersubscriberparticipant,normal
refactoring simplify ttypes multidimensional arrays itypebindinggetcomponenttype,trivial
breakpoint action ruler popup menu jsp editor,minor
program goes warn loop trying get new mail server allows requests every xx minutes,major
clean clean add override,minor
particular site opening firefox brower alone,major
importing jsp breakpoints causes exception,major
content assist surround templates end convenient,minor
part renderingengine limbo make target view,trivial
hover help broken,blocker
cell editors new api,normal
quickfix remove unnecessary nonnls tags leaves trailing whitespaces,normal
deprecated message platformgetpluginregistry refer getextensionregistry,trivial
compiler eclipse compiler detect type argument extends within bounds typevariable,minor
problem debug view breakpoints code executed system thread,normal
content assist parameter hint vanishes moving cursor vertically,minor
navigation fails system beep,minor
ltk ltk refactoringwizardopenoperation opens window window title text,normal
text invisible selecting widgets,critical
squished icons inspector gdtubp,minor
ext connection method page missing mnemonics,normal
broken advanced button captive portal pages,normal
run configuration eclipse automatically adds projectnameclass runconfig command line jpms projects,major
mail currently unavailable checking new mail,major
libpixmanso pixmanregionintersect,major
toolbar buttons gets disabled look supposed disabled,major
bidi java editor switch rtl ctrlrightshift,minor
button dialogs isnt hidden theres help written,trivial
dtd errors thunderbird,blocker
compiler bound mismatch eclipse compiles javac,major
run menu item,minor
previous next buttons find toolbar blank compact dark,minor
thunderbird crash canonicalizexpcomparticipant cycle collector via general memory corruption users randomish crash signatures sometimes bad memory,critical
jface localselectiontransfernativetojava logs error super returns null,trivial
get rid copied statuslinecontributionitem,trivial
forms section header title goes missing set section text client,minor
inconsistent stack error using java,major
firefox unable initially access onscreen controls keyboard changing search bar settings within new profile,normal
ies icon missing run configuration panel,trivial
extract method npe trying extract method,major
themes windows font size high contrast large font resizing,normal
intro need refrsh intro view icon,normal
typing copypaste doesnt work occasionally,major
alljavamodelteststracingtestplatformjarindexfile fails gerrit randomly,normal
working set definitions get deleted close open b,major
npe invoking build clean element selected sync view,major
cannot normally enter text cpp editor,critical
sort library entries alphabetically project explorer,normal
